Generation,BestFitness,MedianFitness,AvgFitness
0,0.490000,1.482534,32000000001.056259
1,0.202606,0.490000,17940000000.701817
2,0.018830,0.490000,21400001299.654182
3,0.018830,0.490000,11540008036.466787
4,0.018830,0.490000,7980001160.528938
5,0.018830,0.490000,7179999761.533019
6,0.012121,0.490000,5880000000.736111
7,0.012121,1.070026,3440001871.892573
8,0.007697,1.070026,3980000000.887064
9,0.007697,1.014535,7420003119.220580
10,0.007697,1.070026,17400004366.605778
11,0.005785,1.035227,13240005613.911568
12,0.005785,0.814272,11780006256.929966
13,0.005785,0.606219,10740003782.999195
14,0.005785,0.490000,12460011850.421209
15,0.005785,0.490000,11420011204.217297
16,0.005785,0.490000,11980011869.667421
17,0.005785,0.084726,10500013097.624384
18,0.005785,0.086598,9000009979.231424
19,0.005785,0.232846,8960009979.266895
20,0.005785,0.413594,12480014183.257080
21,0.005785,0.202606,14040013097.622585
22,0.005785,0.086598,13420012239.787849
23,0.005785,0.086598,12980013721.289417
24,0.005785,0.036334,15460015592.300428
25,0.005785,0.232846,15900013721.306068
26,0.005785,0.174853,13460013097.636541
27,0.005785,0.232846,14000014968.680983
28,0.005785,0.224728,15940012473.958652
29,0.005785,0.100173,13800011344.152126
30,0.005785,0.091087,15000018710.669144
31,0.005785,0.464207,19360017905.798988
32,0.005785,0.490000,18520016304.013584
33,0.005785,0.490000,18560012325.144604
34,0.005785,0.733219,15460012736.554829
35,0.005785,0.743408,14640007661.847235
36,0.005785,0.834393,18740012273.719730
37,0.005785,0.918081,12760012218.165342
38,0.005785,0.566370,9060002134.119186
39,0.005785,0.667422,11400007760.918762
40,0.005785,0.844821,17580008971.723850
41,0.005785,0.626565,11840008600.254925
42,0.005785,0.657019,16160012403.178452
43,0.005785,0.533407,9120005746.730000
44,0.005785,0.953915,12740006237.558205
45,0.005785,0.563426,19060012022.456379
46,0.005785,0.953915,17640011210.380424
47,0.005785,0.829932,13680009979.565094
48,0.005785,0.647687,16200011237.094446
49,0.005785,0.912095,13980010149.566982
50,0.005785,0.899335,17040010764.951075
51,0.005785,0.834393,18660011343.099648
52,0.005785,0.920043,25560014621.326336
53,0.005785,0.778971,16700011206.798233
54,0.005785,0.914225,14160010603.242010
55,0.005785,0.815117,14100011883.598888
56,0.005785,0.690674,21120012518.883190
57,0.005785,0.752620,17440010374.776627
58,0.005785,0.690122,16380007774.295490
59,0.005785,0.530429,11160009485.256950
60,0.005785,0.525519,14660006414.459253
61,0.005785,0.529949,18480010268.158806
62,0.005785,0.641920,15840007242.795486
63,0.005785,0.741145,13180011850.572985
64,0.005785,0.685346,14140011683.711374
65,0.005785,0.837659,16940010506.136850
66,0.005785,0.563672,13880009860.267416
67,0.005785,0.756419,16220009667.836836
68,0.005785,0.926503,19840014398.011429
69,0.005785,0.733967,9600006370.437588
70,0.005785,0.606379,16640011279.968176
71,0.005785,0.887916,19180011870.471352
72,0.005785,0.690122,14880007261.510286
73,0.005785,0.530429,20620011642.262306
74,0.005785,0.596608,18340010266.419254
75,0.005785,0.883284,14040009623.313402
76,0.005785,0.918081,21260012884.798695
77,0.005785,0.908364,19660018443.587517
78,0.005785,0.953915,17320012744.204273
79,0.005785,0.953915,19700013765.695004
80,0.005785,0.886426,15300011748.945868
81,0.005785,0.690674,19560016216.266117
82,0.005785,0.689569,19120010603.214180
83,0.005785,0.748004,16060011780.133812
84,0.005785,0.834393,16820012115.423235
85,0.005785,0.724321,16880013310.875147
86,0.005785,0.752475,11540011344.348877
87,0.005785,0.544031,19840008273.083023
88,0.005785,0.596608,15780012614.249168
89,0.005785,0.646391,14800008892.539240
90,0.005785,0.833181,20480012224.603626
91,0.005785,0.690674,20660015592.589710
92,0.005785,0.953915,18120016804.593155
93,0.005785,0.914225,23700013855.892651
94,0.005785,0.875227,16220011717.652979
95,0.005785,0.865975,19840011853.111298
96,0.005785,0.918081,18540008802.495464
97,0.005785,0.887576,20480011403.921360
98,0.005785,0.918081,15300015369.287315
99,0.005785,0.953915,20920013331.333324
100,0.005785,0.867170,17480010135.298332
101,0.005785,0.738575,21080011835.317406
102,0.005785,0.717207,9900007924.197657
103,0.005785,0.679324,13660009979.530687
104,0.005785,0.953915,21080014017.735451
105,0.005785,0.650175,17220009294.575508
106,0.005785,0.654161,11760009926.670362
107,0.005785,0.595625,14400010427.619616
108,0.005785,0.555679,19060011795.610600
109,0.005785,0.767779,19880013230.836586
110,0.005785,0.514481,10900005012.930462
111,0.005785,0.609180,17080013097.884596
112,0.005785,0.689289,12560007600.416853
113,0.005785,0.599372,18540008820.096893
114,0.005785,0.689569,20420012607.161186
115,0.005785,0.682782,17160005554.726404
116,0.005785,0.534463,18020011983.445442
117,0.005785,0.953915,17460009511.633354
118,0.005785,0.953915,18540015022.046837
119,0.005785,0.603554,17040013115.112217
120,0.005785,0.652391,19620008742.386314
121,0.005785,0.918081,19580014786.088776
122,0.005785,0.594130,17680006462.235550
123,0.005785,0.525519,17100007579.148329
124,0.005785,0.953915,27340010662.977123
125,0.005785,0.953915,12960010736.176075
126,0.005785,0.603145,17380009032.063667
127,0.005785,0.803655,12140011850.586327
128,0.005785,0.764439,17660012474.252857
129,0.005785,0.618622,12600008830.818825
130,0.005785,0.829932,21760012337.190392
131,0.005785,0.782311,11940007241.194561
132,0.005785,0.690266,13220008616.500088
133,0.005785,0.806340,15180009325.619061
134,0.005785,0.618812,19840013140.401321
135,0.005785,0.621167,14820007307.126995
136,0.005785,0.689569,18360008105.980042
137,0.005785,0.558218,18560011287.582191
138,0.005785,0.604025,17760009769.900478
139,0.005785,0.836647,13020010828.232910
140,0.005785,0.883284,18420013854.534309
141,0.005785,0.876435,16940012128.202213
142,0.005785,0.837659,18620009817.805676
143,0.005785,0.642534,18120011850.540844
144,0.005785,0.682404,15660011221.759079
145,0.005785,0.953915,20520017159.316757
146,0.005785,0.888277,20640012261.115646
147,0.005785,0.573117,16160005546.207474
148,0.005785,0.690674,15600011249.693542
149,0.005785,0.725825,17040009394.874067
150,0.005785,0.627191,17200010371.354744
151,0.005785,0.688487,14920011983.477123
152,0.005785,0.875227,22660013363.780846
153,0.005785,0.638617,12640007484.836052
154,0.005785,0.689569,18040009600.453983
155,0.005785,0.831719,21680006178.500736
156,0.005785,0.704396,27380014534.422649
157,0.005785,0.739664,13260010262.465673
158,0.005785,0.740614,14600011188.817646
159,0.005785,0.918081,20760014618.252575
160,0.005785,0.854047,16220010011.183594
161,0.005785,0.720862,12020009391.723959
162,0.005785,0.953915,19160009352.375633
163,0.005785,0.746040,18920011976.278107
164,0.005785,0.953915,16700010622.628677
165,0.005785,0.754332,13560012065.372795
166,0.005785,0.845750,20940012205.803658
167,0.005785,0.778203,12180004912.674429
168,0.005785,0.886426,17320011103.279655
169,0.005785,0.953915,15420008858.287752
170,0.005785,0.766929,10280006175.095097
171,0.005785,0.775114,12220005247.323381
172,0.005785,0.953915,12520008317.118450
173,0.005785,0.816828,10580006407.075895
174,0.005785,0.938615,16000004546.267935
175,0.005785,0.814474,16660005751.449419
176,0.005785,0.736185,15780011882.938183
177,0.005785,0.900919,8060004754.147260
178,0.005785,0.775680,11200006235.078819
179,0.005785,0.606061,12280004231.144142
180,0.005785,0.656319,10940003486.274220
181,0.005785,0.563672,10340004381.770390
182,0.005785,0.568750,12800003880.395857
183,0.005785,0.614694,18140008108.550323
184,0.005785,0.814272,13960009481.166027
185,0.005785,0.575238,12220005881.300640
186,0.005785,0.596608,17400004625.254414
187,0.005785,0.654921,13900005256.036694
188,0.005785,0.563672,12740003745.380964
189,0.005785,0.563425,18060004381.662525
190,0.005785,0.563672,12240005828.391962
191,0.005785,0.563672,14880008472.495041
192,0.005785,0.547910,14760008529.341265
193,0.005785,0.759095,16820007425.564346
194,0.005785,0.550510,16100008901.672758
195,0.005785,0.587582,9880007290.456604
196,0.005785,0.593847,16660006276.529148
197,0.005785,0.607420,13000007641.469164
198,0.005785,0.652195,17660008246.355804
199,0.005785,0.822428,20680011250.717155
200,0.005785,0.563180,17900009923.685669
201,0.005785,0.563672,17800008507.722980
202,0.005785,0.565453,14140007644.916069
203,0.005785,0.609985,16200007496.188559
204,0.005785,0.678929,20600005586.483814
205,0.005785,0.716724,11280008375.098219
206,0.005785,0.689422,24320005786.662209
207,0.005785,0.745761,12420005339.977718
208,0.005785,0.579589,10660009405.110723
209,0.005785,0.688827,15820007117.382206
210,0.005785,0.568226,13540008766.463076
211,0.005785,0.692571,16860007524.299553
212,0.005785,0.690674,17360008519.110458
213,0.002390,0.725185,18480007497.603642
214,0.002390,0.672705,18660012830.240047
215,0.002390,0.565176,10720007520.514896
216,0.002390,0.834324,17680011756.743935
217,0.002390,0.563672,9080004515.703253
218,0.002390,0.543778,12000005853.301868
219,0.002390,0.563672,14100008093.170027
220,0.002390,0.647892,17580006731.154827
221,0.002390,0.677715,17020009250.897762
222,0.002390,0.607811,18460007459.394104
223,0.002390,0.687429,18280009234.345200
224,0.002390,0.691214,18440010744.158077
225,0.002390,0.689569,18640006769.531811
226,0.002390,0.658488,19160012513.257839
